啊	aaoo
泵	bgpx
甭	bgtf
绷	bgwn
嘣	bgon
迸	bgkz
甏	bgya
蚌	bgcf
琫	bgif
祊	bgth
镚	bgzn
比	bill
笔	bikl
逼	bihz
必	biul
币	bije
鼻	bijk
臂	bipn
壁	bipy
彼	biva
毕	bilx
避	bipz
碧	biip
哔	biox
闭	binj
弊	bigh
璧	bipd
铋	bizu
敝	biga
匕	bill
毙	bill
俾	bivx
鄙	biop
蔽	biha
婢	biax
濞	bidk
庇	bijl
畀	biqk
陛	bipy
弼	biww
痹	bijk
妣	bial
髀	binx
吡	biol
屄	bipg
箅	bikk
滗	bidl
庳	bijx
嬖	bipa
芘	bihl
沘	bidl
毖	bilu
蓖	bihl
裨	bitx
苾	bihu
愎	bila
篦	bikl
邲	biuw
皕	bitb
襞	bipk
萆	bihx
荜	bihx
薜	bihx
跸	biex
咇	biou
珌	biiu
舭	binl
辟	bipx
佖	bivu
赑	birr
荸	bihz
诐	biia
筚	bikx
秕	biul
贲	bixr
狴	biqy
佛	bivs
觱	bisf
馝	biuu
泌	bidu
秘	biuu
鲾	biuq
坒	bily
便	bmvr
边	bmxz
变	bmia
遍	bmdz
编	bmwh
贬	bmrz
辩	bmix
扁	bmdh
鞭	bmhr
辨	bmix
蝙	bmch
卞	bmdt
煸	bmrh
弁	bmuh
辫	bmix
匾	bmch
汴	bmdt
抃	bmft
昪	bmbh
苄	bmht
笾	bmkx
砭	bmpz
鳊	bmuh
萹	bmhh
忭	bmlt
碥	bmph
褊	bmth
𨚕	bmuw
𰻝	bdnz
表	bcyk
标	bcmg
婊	bcak
飙	bcrx
镖	bczg
彪	bcjg
裱	bctk
膘	bcng
杓	bcmd
鳔	bcug
镳	bczd
骉	bcss
熛	bcrg
摽	bcfg
幖	bceg
骠	bcsg
藨	bchd
儦	bcvd
瀌	bcdd
俵	bcvk
飑	bcwl
瘭	bcjg
脿	bcnk
别	bxog
憋	bxgu
鳖	bxgu
瘪	bxjl
蹩	bxge
癿	bxjl
宾	bnng
斌	bniy
彬	bnmg
髌	bnng
鬓	bnfg
滨	bndg
豳	bneq
邠	bngp
缤	bnwg
膑	bnng
殡	bnhg
濒	bndr
摈	bnfg
玢	bnih
傧	bnvg
镔	bnzg
槟	bnmg
并	bykh
病	byjn
兵	byog
冰	bydx
饼	bykh
柄	bymn
丙	byhn
禀	byig
屏	byph
秉	bymj
炳	byrn
蛃	bycn
昺	bybn
摒	byfh
槟	bymg
邴	byhp
栟	bymh
波	boda
博	boxd
播	bofq
薄	bohd
拨	bofd
伯	bovb
铂	bozb
搏	bofd
啵	booa
钵	bozm
勃	boxx
驳	bosx
玻	boia
脖	bonz
帛	boje
剥	boeg
跛	boea
亳	boil
箔	bokb
柏	bomb
孛	boxz
泊	bodb
钹	bozd
渤	bodx
镈	bozd
僰	bomv
菠	boha
擘	bopf
浡	bodz
舶	bonb
嶓	boeq
膊	bond
哱	booz
砵	bopm
卜	boli
踣	boeo
簸	boka
鹁	boxs
檗	bopm
鲌	boub
蕃	bohq
艴	bosl
趵	boed
馞	bouz
袯	botd
饽	bokz
礴	bopd
欂	bomd
𬭛	boza
不	buth
部	buip
补	butl
步	buyg
布	buxe
簿	bukd
钚	buzt
捕	buff
卜	buli
怖	bule
卟	buol
晡	bubf
埠	buyx
逋	bufz
堡	buvy
哺	buof
蔀	buhp
瓿	buia
醭	busn
埔	buyf
埗	buyg
𬷕	bufs
擦	cafg
嚓	caog
才	clxj
菜	clhm
踩	clem
猜	clqn
蔡	clhg
财	clrj
采	cljm
材	clmj
裁	clxk
彩	cljg
睬	clbm
偲	clvu
惨	cjlg
餐	cjlk
残	cjhs
参	cjug
蚕	cjhc
粲	cjlm
灿	cjre
骖	cjsg
惭	cjlt
璨	cjim
黪	cjig
䅟	cjug
藏	chhc
仓	chvl
舱	chnl
苍	chhl
沧	chdl
鸧	chvs
伧	chvl
草	ckhx
槽	ckmb
曹	cksb
操	ckfm
艹	ckhh
糙	ckgz
屮	ckel
嘈	ckob
漕	ckdb
芔	ckee
肏	ckvv
艚	cknb
螬	ckcb
𥕢	ckpb
侧	cevg
测	cedg
册	cehj
策	cekm
厕	cejg
恻	celg
𤭢	czia
岑	cfez
涔	cfdz
参	cfug
曾	cggb
层	cgpu
蹭	cgeb
噌	cgob
嶒	cgeb
差	iayi
茶	iahm
查	iamh
插	iafu
叉	iaad
侘	iavl
茬	iahy
镲	iazg
察	iang
猹	iaqh
搽	iafm
槎	iami
岔	iage
檫	iamg
杈	iamd
嚓	iaog
碴	iaph
姹	iaal
汊	iadd
衩	iatd
锸	iazu
垞	iayl
诧	iail
馇	iakh
刹	iaxg
喳	iaoh
蹅	iaeh
嵖	iaeh
𥻗	iagh
拆	ilft
柴	ilym
差	ilyi
钗	ilzd
豺	ilqj
虿	ilhc
侪	ilvg
瘥	ilji
茝	ilhc
产	ijij
铲	ijzj
馋	ijkg
缠	ijwi
禅	ijtt
蝉	ijct
掺	ijfg
颤	ijir
搀	ijfg
谗	ijig
浐	ijdj
婵	ijat
蟾	ijci
澶	ijdh
觇	ijlw
阐	ijnt
躔	ijey
襜	ijti
谄	ijiu
镡	ijzx
刬	ijsg
辿	ijez
忏	ijlx
巉	ijed
韂	ijhi
羼	ijpy
廛	ijjy
潺	ijdz
梴	ijmz
孱	ijpz
蒇	ijhr
啴	ijot
单	ijgt
骣	ijsz
镵	ijzd
瀍	ijdy
旵	ijbe
冁	ijgk
儳	ijvd
𬊤	ijrt
唱	ihob
场	ihyg
长	ihkj
常	ihge
厂	ihjh
尝	ihgu
肠	ihng
畅	ihfg
昌	ihbb
偿	ihvu
敞	ihga
娼	ihab
鬯	ihxl
怅	ihlk
倡	ihvb
昶	ihib
猖	ihqb
嫦	ihae
氅	ihgl
伥	ihvk
苌	ihhk
鲳	ihub
菖	ihhb
徜	ihvo
裳	ihgk
阊	ihnb
鲿	ihuu
惝	ihlo
𬬮	ihzk
超	ikeo
抄	ikfj
炒	ikrj
朝	ikxn
潮	ikdn
吵	ikoj
钞	ikzj
巢	ikgm
嘲	ikon
焯	ikrx
晁	ikbx
怊	iklo
绰	ikwx
弨	ikwo
耖	ikmj
车	ielh
扯	iefy
撤	iefa
彻	ievh
掣	iejf
澈	ieda
坼	ieyt
尺	iepn
砗	iepl
㬚	ieba
陈	ifpl
趁	ifeg
臣	ifch
沉	ifdw
辰	ifjk
尘	ifgy
琛	ifim
抻	ifff
嗔	ifog
衬	iftd
晨	ifbk
称	ifug
宸	ifnk
谶	ifih
谌	ifil
瞋	ifbg
忱	iflw
梣	ifmz
煁	ifrl
榇	ifmm
龀	ifyl
疢	ifjr
棽	ifmz
碜	ifpg
郴	ifmp
𬘭	ifwm
成	igsz
称	igug
城	igyz
呈	igoi
乘	igux
撑	igff
橙	igmk
程	igui
秤	igug
盛	igsq
承	igzx
诚	igiz
丞	igwh
澄	igdk
逞	igoz
惩	igvu
枨	igmk
埕	igyi
骋	igss
铖	igzz
澂	igda
珵	igii
琤	igit
塍	igny
偁	igvn
蛏	igcy
赪	igyr
噌	igob
酲	igsi
宬	ignz
柽	igmy
瞠	igby
珹	igiz
牚	iggr
晟	igbz
铛	igze
憕	iglk
裎	igti
庱	igja
吃	iioz
池	iidl
持	iifd
赤	iiyx
尺	iipn
迟	iipz
齿	iiyu
敕	iima
痴	iijo
驰	iisl
翅	iixe
耻	iiby
嗤	iioc
豉	iiha
斥	iijt
螭	iicn
叱	iiol
彳	iivj
蚩	iiec
炽	iirg
笞	iiko
哧	iiox
媸	iiac
饬	iikx
侈	iivd
弛	iiwl
褫	iitw
魑	iiwn
摛	iifn
鸱	iijs
啻	iiio
瘛	iiju
漦	iimx
墀	iiyf
茌	iihy
匙	iibl
眵	iibd
篪	iikw
傺	iivg
踟	iieo
胣	iinl
瓻	iixa
痓	iijy
𫄨	iiwe
冲	isdf
重	isij
充	isiw
虫	isci
宠	isnw
崇	iseg
铳	iszw
舂	isru
憧	isli
摏	isfu
艟	isni
翀	isef
忡	islf
茺	ishw
涌	isdf
种	isuf
珫	isiw
漴	isdg
㳘	isdw
抽	ibfy
丑	ibzh
臭	ibjd
愁	ibuu
瞅	ibbr
仇	ibvx
筹	ibkd
稠	ibuo
酬	ibsg
雠	ibvi
俦	ibvd
绸	ibwo
畴	ibqd
瘳	ibjg
惆	iblo
杻	ibmh
帱	ibed
椆	ibmo
犨	ibvf
踌	ibed
侴	ibvg
出	iueu
处	iual
除	iupm
初	iuth
楚	iumv
厨	iujd
触	iuhc
褚	iutb
杵	iumx
储	iuvb
锄	iuzx
怵	iuld
雏	iuhi
橱	iumd
畜	iuiq
黜	iuiu
刍	iuhe
础	iupu
俶	iuva
楮	iumb
矗	iuxb
亍	iuht
滁	iudm
绌	iuwu
樗	iums
憷	iulv
斶	iujc
搐	iufq
摴	iufs
躇	iueb
蜍	iucm
濋	iudv
蹰	iued
䝙	iuqx
䢺	iuep
琡	iuia
𬺓	iuyv
欻	iwrv
踹	iyeg
揣	iyfg
搋	iyfw
啜	iyoa
穿	irnr
传	irvs
船	irno
川	irgj
串	irfi
氚	irkg
喘	irog
钏	irzg
舛	irdf
椽	irmq
遄	irez
床	idjm
创	idvg
窗	idna
闯	idns
疮	idjl
怆	idll
幢	idei
噇	idoi
吹	ivov
锤	ivzi
捶	ivfi
垂	ivij
炊	ivrv
槌	ivmz
圌	ivqg
棰	ivmi
倕	ivvi
陲	ivpi
纯	ipwl
蠢	iprc
春	iprb
唇	ipjo
醇	ipsz
椿	ipmb
淳	ipdz
蝽	ipcb
鹑	ipis
莼	iphl
瑃	ipib
䲠	ipub
堾	ipyb
𬭚	ipzz
戳	ioes
啜	iooa
辍	iola
绰	iowx
龊	ioye
踔	ioex
逴	iolz
惙	iola
次	cidv
此	ciyl
词	ciio
刺	cimg
赐	cirg
磁	cipw
茨	cihv
呲	ciol
辞	cijx
雌	ciyi
瓷	cida
祠	cito
慈	ciku
泚	cidl
疵	cijl
伺	civo
玼	ciil
糍	cigw
跐	ciel
差	ciyi
茈	cihl
兹	cikw
佽	civv
鹚	ciks
莿	cihg
𫚖	ciyu
从	csvv
葱	cshu
聪	csbu
丛	csvh
琮	csig
悰	cslg
骢	cssu
枞	csmv
璁	csiu
淙	csdg
熜	csru
匆	cshh
囱	csja
苁	cshv
凑	cbdr
腠	cbnr
辏	cblr
粗	cugb
醋	cusb
促	cuve
簇	cukr
蹙	cuse
蹴	cued
猝	cuqx
殂	cuhb
徂	cuvb
卒	cuix
蔟	cuhr
窜	crnf
蹿	cref
汆	crvx
篡	crku
爨	crxr
攒	crfr
撺	crff
镩	crzf
催	cvvi
崔	cvei
脆	cvnl
翠	cvex
啐	cvox
萃	cvhx
摧	cvfi
淬	cvdx
粹	cvgx
毳	cvll
璀	cvii
悴	cvlx
瘁	cvjx
漼	cvdi
缞	cvwk
榱	cvmk
寸	cpxd
存	cpxz
村	cpmd
邨	cplw
皴	cpua
忖	cpld
错	cozb
搓	cofi
挫	cofy
措	cofb
锉	cozy
厝	cojb
撮	cofa
蹉	coei
矬	covy
痤	cojy
瑳	coii
嵯	coei
鹾	coli
磋	copi
脞	cony
棤	comb
莝	cohy
大	darh
打	daft
答	dako
达	darz
搭	dafo
哒	daoz
嗒	daoo
妲	daah
鞑	dahz
怛	dalh
沓	daib
炟	darh
跶	daez
笪	dakh
耷	darb
靼	dahh
垯	dayz
溚	dado
瘩	dajo
褡	dato
荙	dahz
鿎	dapz
𨱏	dazo
𫟼	dazz
带	dlhe
代	dlvs
待	dlvd
呆	dlom
戴	dlxg
贷	dlvr
袋	dlvk
黛	dlvd
逮	dlfz
岱	dlve
殆	dlho
迨	dluz
呔	dlod
歹	dlhd
玳	dlis
傣	dlvx
怠	dluu
绐	dlwo
埭	dlyx
大	dlrh
轪	dllr
骀	dlso
叇	dlgz
垈	dlvy
但	djvh
单	djgt
蛋	djtc
弹	djwt
淡	djdr
丹	djnj
氮	djkr
胆	djnh
担	djfh
旦	djbh
啖	djor
掸	djft
澹	djdi
亶	djih
石	djph
诞	djiz
惮	djlt
耽	djbw
儋	djvi
聃	djbn
殚	djht
疍	djth
箪	djkt
憺	djli
膻	djnh
瘅	djjt
眈	djbw
萏	djhu
赕	djrr
郸	djgp
疸	djjh
𫢸	djvt
𬘘	djww
当	dhge
党	dhgw
档	dhme
挡	dhfe
裆	dhte
荡	dhhg
铛	dhze
宕	dhnp
砀	dhpg
凼	dhiu
珰	dhie
谠	dhiw
菪	dhhp
垱	dhye
筜	dhke
𣗋	dhmw
𬍡	dhdd
到	dkhg
道	dkkz
刀	dkhz
倒	dkvg
岛	dkse
导	dkld
盗	dkdq
叨	dkoh
氘	dkkg
稻	dkuu
捣	dkfe
悼	dklx
纛	dkyg
蹈	dkeu
祷	dktd
捯	dkfg
忉	dklh
帱	dked
舠	dknh
鱽	dkuh
的	dejd
得	devd
地	deyl
德	devu
锝	dezd
嘚	deod
得	dzvd
嘚	dzod
扽	dffl
等	dgkd
灯	dgrt
登	dgxk
邓	dgaw
蹬	dgek
凳	dgxw
瞪	dgbk
噔	dgok
镫	dgzk
戥	dgbs
磴	dgpk
嶝	dgek
澄	dgdk
璒	dgik
地	diyl
第	dikj
低	divd
滴	dido
底	dijd
帝	diie
迪	diyz
敌	dija
蒂	dihe
抵	difd
笛	diky
递	digz
狄	diqr
弟	digj
镝	dizo
氐	dijd
嫡	diao
堤	diyv
骶	dind
棣	dimx
邸	dijp
的	dijd
碲	dipe
嘀	dioo
睇	dibj
禘	dite
谛	diie
籴	divm
砥	dipd
鞮	dihv
涤	didm
荻	dihr
菂	dihd
娣	diaj
诋	diid
觌	dixw
羝	diyd
柢	dimd
翟	diei
杕	dimr
髢	difl
坻	diyd
茋	dihd
缔	diwe
踶	diev
媂	diae
提	difv
蹢	dieo
玓	diid
䃅	dipt
䗖	dice
𤧛	diie
𬱖	diyr
嗲	dwod
点	dmld
店	dmjo
电	dmli
垫	dmfy
碘	dmpg
殿	dmpa
颠	dmxr
典	dmsg
滇	dmdg
甸	dmhq
掂	dmfo
簟	dmkx
癫	dmjr
巅	dmer
奠	dmgr
靛	dmyv
钿	dmzq
踮	dmeo
佃	dmvq
淀	dmdv
玷	dmio
惦	dmlo
坫	dmyo
癜	dmja
扂	dmdo
阽	dmpo
琔	dmiv
掉	dcfx
调	dcio
吊	dcoe
屌	dcpe
叼	dcoz
钓	dczd
雕	dcni
刁	dczh
貂	dcqo
凋	dcdo
鲷	dcuo
碉	dcpo
铫	dczx
窎	dcns
铞	dcze
汈	dcdz
跌	dxer
爹	dxgd
叠	dxab
碟	dxpm
蝶	dxcm
迭	dxjz
谍	dxim
牒	dxkm
昳	dxbr
鲽	dxum
喋	dxom
堞	dxym
瓞	dxjr
耋	dxjy
垤	dxyy
绖	dxwy
楪	dxmm
蹀	dxem
𫶇	dxee
定	dynv
顶	dytr
丁	dyth
盯	dybt
订	dyit
钉	dyzt
鼎	dybx
叮	dyot
碇	dypv
町	dyqt
腚	dynv
锭	dyzv
玎	dyit
啶	dyov
酊	dyst
仃	dyvt
疔	dyjt
耵	dybt
萣	dyhv
丢	dqju
铥	dqzu
懂	dsli
动	dsgx
东	dslh
洞	dsdo
冻	dsdl
冬	dsag
董	dshi
栋	dsml
咚	dsog
氡	dskg
侗	dsvo
鸫	dsls
胴	dsno
峒	dseo
恫	dslo
硐	dspo
岽	dsel
垌	dsyo
胨	dsnl
𬟽	dscl
都	dbjp
斗	dbgx
抖	dbfx
豆	dbhk
逗	dbhz
兜	dbjw
痘	dbjk
陡	dbpe
窦	dbnr
读	dbir
蔸	dbhw
蚪	dbcx
钭	dbzx
篼	dbkw
读	duir
度	duja
都	dujp
赌	durb
毒	duyq
堵	duyb
杜	dumy
独	duqc
渡	duda
督	duyb
肚	duny
镀	duza
笃	duks
嘟	duop
蠹	dufc
睹	dubb
妒	duap
犊	dufr
渎	dudr
椟	dumr
牍	dukr
阇	dunb
厾	duzu
芏	duhy
黩	duir
髑	dunc
𬭊	duzy
端	drig
段	drfa
短	drvk
断	drgt
椴	drma
锻	drza
缎	drwa
耑	dreg
煅	drra
塅	drya
簖	drkt
瑖	dria
对	dvad
队	dvpv
怼	dvau
堆	dvyi
兑	dvgw
碓	dvpi
祋	dvta
㨃	dvfz
吨	dpol
蹲	dped
盾	dpjb
炖	dprl
顿	dplr
惇	dplz
墩	dpya
遁	dpjz
钝	dpzl
敦	dpia
趸	dphe
囤	dpql
盹	dpbl
沌	dpdl
镦	dpza
礅	dppa
蹾	dpea
砘	dppl
多	dodd
躲	dorm
夺	dord
剁	dowg
朵	dowm
堕	dopy
度	doja
舵	donl
跺	doem
铎	dozf
哆	dood
踱	doea
惰	doln
垛	doym
咄	doou
掇	dofa
埵	doyi
亸	doit
驮	dosr
哚	doom
剟	doag
裰	dota
饳	doku
㙍	doya
额	eenr
恶	eehu
呃	eeol
俄	eevs
饿	eeks
鹅	eess
厄	eejl
讹	eeil
鳄	eeus
鄂	eeop
娥	eeas
欸	eeuv
蛾	eecs
颚	eeor
腭	eens
锇	eezs
扼	eefl
阿	eepo
轭	eell
莪	eehs
遏	eebz
谔	eeis
屙	eepo
萼	eehs
锷	eezs
鹗	eeos
愕	eels
峨	eees
涐	eeds
垩	eehy
崿	eees
噩	eeio
哦	eeos
婀	eeao
姶	eeao
苊	eehl
堨	eeyl
𥔲	eeps
𫫇	eeou
诶	eiir
欸	eiuv
嗯	enou
恩	enqu
摁	enfu
蒽	enhu
嗯	egou
而	ertg
二	ergh
儿	erwl
耳	erbh
尔	erhg
贰	ersr
饵	erkb
迩	erhz
铒	erzb
珥	erib
鸸	erts
洱	erdb
鲕	erug
耏	ertg
陑	erpg
咡	erob
发	faxd
法	fadu
伐	favs
罚	faqg
阀	fans
乏	fajz
筏	faks
珐	faiu
垡	favy
砝	fapu
反	fjja
饭	fjka
翻	fjue
犯	fjql
范	fjhl
泛	fjdz
凡	fjwd
番	fjuq
烦	fjrr
返	fjja
帆	fjed
藩	fjhq
繁	fjvg
梵	fjmd
樊	fjmr
蕃	fjhq
贩	fjra
钒	fjzd
矾	fjpd
幡	fjeq
燔	fjrq
氾	fjdl
蘩	fjhg
璠	fjiq
蹯	fjeq
畈	fjqa
墦	fjyq
𫔍	fjzq
𬸪	fjus
放	fhia
方	fhih
防	fhph
房	fhdh
仿	fhvh
坊	fhyh
芳	fhhh
访	fhih
钫	fhzh
昉	fhbh
纺	fhwh
枋	fhmh
鲂	fhuh
妨	fhah
肪	fhnh
舫	fhnh
蚄	fhch
邡	fhip
牥	fhfh
非	fzxi
费	fzsr
飞	fzzg
肺	fznf
废	fzjd
肥	fznl
菲	fzhx
妃	fzal
匪	fzcx
绯	fzwx
斐	fzxx
吠	fzod
沸	fzds
啡	fzox
霏	fztx
榧	fzmx
扉	fzdx
腓	fznx
淝	fzdl
蜚	fzxc
朏	fznu
镄	fzzr
诽	fzix
痱	fzjx
翡	fzxe
狒	fzqs
鲱	fzux
悱	fzlx
芾	fzhf
棐	fzxm
剕	fzxg
篚	fzkx
𬴂	fzsx
分	ffgh
粉	ffgh
份	ffvh
坟	ffyx
芬	ffhh
粪	ffgg
焚	ffmr
汾	ffdh
酚	ffsh
忿	ffgu
愤	fflr
奋	ffrq
偾	ffvr
纷	ffwh
氛	ffkh
棻	ffhm
棼	ffmh
鲼	ffur
瀵	ffdg
玢	ffih
翂	ffeh
吩	ffoh
坋	ffyh
鼢	ffuh
豮	ffqr
𣸣	ffdr
风	fgwx
封	fgyd
冯	fgds
峰	fgef
疯	fgjx
缝	fgwz
奉	fgrf
逢	fgaz
锋	fgzf
丰	fgfh
凤	fgwa
枫	fgmx
蜂	fgcf
俸	fgvf
沣	fgdf
讽	fgix
葑	fghd
沨	fgdx
烽	fgrf
酆	fgep
唪	fgof
砜	fgpx
崶	fged
赗	fgrb
浲	fgdf
佛	fovs
否	fbto
缶	fbvu
负	fuhr
附	fupd
服	funa
副	fuhg
付	fuvd
福	futq
府	fujd
复	fuva
富	funq
夫	furh
赴	fuel
父	fugx
扶	fufr
氟	fuks
赋	fury
弗	fusz
符	fukd
伏	fuvd
傅	fuvd
幅	fueq
敷	fufa
芙	fuhr
斧	fugt
釜	fugk
腹	funa
浮	fudz
辅	fulf
妇	fuae
甫	fufd
覆	fusa
抚	fufw
拂	fufs
腐	fujv
缚	fuwd
俘	fuvz
俯	fuvd
腑	fund
辐	fulq
孚	fujz
孵	fucz
佛	fuvs
阜	fujx
凫	fusw
肤	funr
蝠	fucq
祓	futd
脯	funf
芣	fuht
黼	fuxd
鄜	fujw
馥	fuua
涪	fudo
桴	fumz
黻	fuxd
苻	fuhd
拊	fufd
麸	fuyr
郛	fujp
玞	fuir
簠	fukq
绂	fuwd
宓	funu
跗	fued
茯	fuhd
赙	furd
莩	fuhz
趺	fuer
茀	fuhs
蝮	fuca
稃	fuuz
匐	fuhq
罘	fuqt
驸	fusd
怫	fuls
呋	fuor
袱	futd
洑	fudd
榑	fumd
鲋	fuud
菔	fuha
滏	fudk
芾	fuhf
咐	fuod
幞	fuen
艴	fusl
绋	fuws
蚨	fucr
韨	fufd
琈	fuiz
垺	fuyz
讣	fuil
蜉	fucz
砆	fupr
㕮	fuox
㳇	fudx
𫓧	fuzr
𫖯	fuxr
尬	gawg
嘎	gaos
噶	gaol
伽	gavo
尕	gahg
钆	gazl
咖	gaoo
旮	gaxb
尜	gagg
轧	gall
戛	gats
该	gliv
改	glla
盖	glyq
钙	glzl
概	glmw
丐	gltl
垓	glyv
陔	glpv
溉	gldw
赅	glrv
荄	glhv
戤	glhs
晐	glbv
𬮿	glpl
感	gjsu
干	gjth
敢	gjza
肝	gjnt
杆	gjmt
赶	gjet
甘	gjbh
柑	gjmb
淦	gjdz
赣	gjir
苷	gjhb
擀	gjft
绀	gjwb
竿	gjkt
尴	gjwq
橄	gjma
秆	gjut
酐	gjst
鳡	gjuu
玕	gjit
矸	gjpt
泔	gjdb
坩	gjyb
旰	gjbt
疳	gjjb
澉	gjda
虷	gjct
㽏	gjdb
刚	ghng
岗	ghex
港	ghdl
杠	ghmi
缸	ghvi
钢	ghzx
纲	ghwx
肛	ghni
冈	ghnx
罡	ghqi
矼	ghpi
扛	ghfi
戆	ghiu
冮	ghdi
堽	ghyi
筻	ghkr
㭎	ghmx
鿍	ghyf
高	gkio
搞	gkfo
稿	gkuo
告	gkfo
膏	gkin
糕	gkgd
镐	gkzo
诰	gkio
皋	gkjx
锆	gkzo
郜	gkfp
缟	gkwo
睾	gkjy
藁	gkhm
杲	gkbm
篙	gkko
槔	gkmx
羔	gkyd
槁	gkmo
筶	gkko
个	gevi
各	geao
哥	geto
歌	getv
格	gemo
割	geng
隔	gepy
咯	geoo
搁	gefo
戈	gesh
葛	gehl
阁	geno
铬	gezo
鸽	gevs
镉	gezy
革	gehf
嗝	geoy
硌	gepo
膈	geny
鬲	gehy
胳	geno
蛤	geco
骼	geno
盖	geyq
舸	geno
圪	geyz
疙	gejz
饹	geko
滆	gedy
袼	geto
哿	gexo
仡	gevz
合	gevo
虼	gecz
塥	geyy
给	gzwo
跟	gfek
根	gfmk
哏	gfok
艮	gfpk
亘	gfhh
茛	gfhk
更	gghr
梗	ggmr
羹	ggyr
耿	ggbr
耕	ggms
庚	ggjr
埂	ggyr
哽	ggor
赓	ggjr
暅	ggbh
鲠	ggur
浭	ggdr
颈	ggzr
绠	ggwr
鹒	ggjs
𬒔	ggpn
共	gssg
供	gsvg
弓	gswz
工	gsih
公	gsgu
宫	gsno
攻	gsia
功	gsix
拱	gsfg
龚	gswg
汞	gsix
贡	gsir
恭	gssl
巩	gsid
躬	gsrw
肱	gsnu
觥	gshw
蚣	gscu
珙	gsig
䢼	gssp
硔	gspg
狗	gbqo
够	gbhd
勾	gbhu
钩	gbzu
购	gbru
沟	gbdu
苟	gbho
构	gbmu
垢	gbyo
篝	gbkn
遘	gbsz
彀	gbya
诟	gbio
觏	gbsw
媾	gban
枸	gbmo
姤	gbao
雊	gbhi
鞲	gbhn
句	gbho
笱	gbko
缑	gbwr
佝	gbvo
岣	gbeo
耇	gbjo
故	guxa
股	guna
古	guxo
鼓	guya
谷	gugo
骨	guni
顾	gujr
钴	guzo
