啊,1=aadz
对,1=dvrk
队,1=dvtj
怼,1=dvrh
堆,1=dvgu
兑,1=dvhp
碓,1=dvmu
祋,1=dvfr
㨃,1=dvuh
吨,1=dpds
蹲,1=dppk
盾,1=dpxq
炖,1=dpcs
顿,1=dpfw
惇,1=dphh
墩,1=dpgh
遁,1=dpxu
钝,1=dpzs
敦,2=dpgh
趸,1=dpfp
囤,1=dprs
盹,1=dpqs
沌,1=dpks
镦,1=dpzh
礅,1=dpmh
蹾,1=dpph
砘,1=dpms
多,1=doll
躲,1=doze
夺,1=domk
剁,1=doop
朵,1=dooe
堕,1=dotg
度,1=doxr
舵,1=doiv
跺,1=dope
铎,1=dozu
哆,1=dodl
踱,1=dopr
惰,1=dohv
垛,1=doge
咄,1=dodm
掇,1=dour
埵,1=dogg
亸,1=dogn
驮,1=donm
哚,1=dode
剟,1=dorp
裰,1=dotr
饳,1=doqm
㙍,1=dogr
额,1=eeww
恶,1=eefh
呃,1=eedz
俄,1=eejp
饿,1=eeqp
鹅,1=eetx
厄,1=eexz
讹,1=eesv
鳄,1=eewa
鄂,1=eedt
娥,1=eebp
欸,1=eeke
蛾,1=eecp
颚,1=eedw
腭,1=eeva
锇,1=eezp
扼,1=eeuz
阿,1=eetz
轭,1=eeyz
莪,1=eelp
遏,1=eeou
谔,1=eesa
屙,1=eecz
萼,1=eela
锷,1=eeza
鹗,1=eedx
愕,1=eeha
峨,1=eevp
涐,1=eekp
垩,1=eefg
崿,2=eeva
噩,1=eend
哦,1=eedp
婀,1=eebz
姶,1=eebd
苊,1=eelz
堨,1=eegf
𥔲,1=eema
𫫇,1=eedh
诶,1=eiso
欸,1=eike
嗯,1=endh
恩,1=enrh
摁,1=enuh
蒽,1=enlh
嗯,1=egdh
而,1=erle
二,1=erme
儿,1=erpe
耳,1=erqe
尔,1=erxy
贰,1=erpo
饵,1=erqq
迩,1=erxu
铒,1=erzq
珥,1=ernq
鸸,1=erlx
洱,1=erkq
鲕,1=erwl
耏,2=erle
陑,1=ertl
咡,1=erdq
发,1=fasi
法,1=fakk
伐,1=fajp
罚,1=fayp
阀,1=faap
乏,1=fatr
筏,1=farp
珐,1=fank
垡,1=fajg
砝,1=famk
反,1=fjxr
饭,1=fjqr
翻,1=fjtz
犯,1=fjmz
范,1=fjlz
泛,1=fjkr
凡,1=fjoi
番,1=fjtq
烦,1=fjcw
返,1=fjxu
帆,1=fjri
藩,1=fjlq
繁,1=fjei
梵,2=fjei
樊,1=fjem
蕃,2=fjlq
贩,1=fjor
钒,1=fjzi
矾,1=fjmi
幡,1=fjrq
燔,1=fjcq
氾,1=fjkz
蘩,1=fjli
璠,1=fjnq
蹯,1=fjpq
